image,output,timestamp
"{""background"": "".gradio\\flagged\\image\\3824ba9062de5925007c\\background.png"", ""layers"": ["".gradio\\flagged\\image\\5313a06faaab451c1bda\\layer_0.png""], ""composite"": "".gradio\\flagged\\image\\86d47b180e9ca395f8c5\\composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2026-05-09 14:10:28.763578
"{""background"": "".gradio\\flagged\\image\\634ef9931c074519b482\\background.png"", ""layers"": ["".gradio\\flagged\\image\\301f13b31718cd105c21\\layer_0.png""], ""composite"": "".gradio\\flagged\\image\\5ae34d39c6b1037dad8b\\composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2026-05-09 14:11:48.697884
